subject,date,day,position,favorite,evaluation,session,tempo,ratio,time
1,8_4_20,1,1,0,0.67,C,10.395284024628014,1.2238739610728306,0
1,8_4_20,1,1,0,0.67,C,10.395284024628014,1.2238739610728306,10
1,8_4_20,1,1,0,0.67,C,10.395284024628014,1.2238739610728306,20
1,8_4_20,1,1,0,0.67,C,10.395284024628014,1.2238739610728306,30
1,8_4_20,1,1,0,0.67,C,9.9316754620236,1.2238739610728306,40
1,8_4_20,1,1,0,0.67,C,10.214874182419843,1.2818008330871087,50
1,8_4_20,1,1,0,0.67,C,9.862362793451455,1.3455583864182306,60
1,8_4_20,1,1,0,0.67,C,9.80342313813271,1.365073338051871,70
1,8_4_20,1,1,0,0.67,C,10.33559513232481,1.4182749350922177,80
1,8_4_20,1,1,0,0.67,C,11.72819806940906,1.2904801954608838,90
1,8_4_20,1,1,0,0.67,C,11.757123069158364,1.3463023049809708,100
1,8_4_20,1,1,0,0.67,C,11.579517788599262,1.3368379051215522,110
1,8_4_20,1,1,0,0.67,C,10.752221000363395,1.450585926305012,120
1,8_4_20,1,1,0,0.67,C,10.817819095861113,1.4503219430307481,130
1,8_4_20,1,1,0,0.67,C,10.450984388075783,1.4299883733804384,140
1,8_4_20,1,1,0,0.67,C,9.835441291976363,1.418332068535555,150
1,8_4_20,1,1,0,0.67,C,9.814711839434384,1.2771010709974604,160
1,8_4_20,1,1,0,0.67,C,9.242273578968147,1.353586450929108,170
1,8_4_20,1,1,0,0.67,C,8.87624965809371,1.4140637995748129,180
1,8_4_20,1,1,0,0.67,C,8.861728313367562,1.4740261372614694,190
1,8_4_20,1,1,0,0.67,C,8.844094289844007,1.5217198178040858,200
1,8_4_20,1,1,0,0.67,C,9.134655170153197,1.5341707483142093,210
1,8_4_20,1,1,0,0.67,C,9.77271124013172,1.3896462191256582,220
1,8_4_20,1,1,0,0.67,C,10.559180038247874,1.3802605727301216,230
1,8_4_20,1,1,0,0.67,C,9.949365541158995,1.415165595807218,240
1,8_4_20,1,1,0,0.67,C,9.721078128163507,1.4775868812938553,250
1,8_4_20,1,1,0,0.67,C,9.581999707996054,1.5151940444295602,260
1,8_4_20,1,1,0,0.67,C,9.210922106690633,1.5565600752690825,270
1,8_4_20,1,1,0,0.67,C,9.906006864384617,1.6553893943520597,280
1,8_4_20,1,1,0,0.67,C,10.145690968865685,1.3981400870779932,290
1,8_4_20,1,1,0,0.67,C,10.46127672012823,1.3692340952222064,300
1,8_4_20,1,1,0,0.67,C,11.261740397578809,1.2730346271967339,310
1,8_4_20,1,1,0,0.67,C,11.794674876986859,1.2417136175667434,320
1,8_4_20,1,1,0,0.67,C,11.558014425404046,1.389918983089014,330
1,8_4_20,1,1,0,0.67,C,11.033856911851741,1.420568908517342,340
1,8_4_20,1,1,0,0.67,C,10.403380066153105,1.4425022911071568,350
1,8_4_20,1,1,0,0.67,C,10.293525727748646,1.4689484694916735,360
1,8_4_20,1,1,0,0.67,C,10.534509428756815,1.4533391200579187,370
1,8_4_20,1,1,0,0.67,C,10.683139365769783,1.5869713093397158,380
1,8_4_20,1,1,0,0.67,C,11.068516882056672,1.5900713749736697,390
1,8_4_20,1,1,0,0.67,C,11.066054998001725,1.4518418216007456,400
1,8_4_20,1,1,0,0.67,C,11.676002424944413,1.3916791873568928,410
1,8_4_20,1,1,0,0.67,C,12.294629828822663,1.1497274855737785,420
1,8_4_20,1,1,0,0.67,C,11.511673137889074,1.1397848499769672,430
1,8_4_20,1,1,0,0.67,C,11.15306637973358,1.120334834776065,440
1,8_4_20,1,1,0,0.67,C,10.868160737760897,1.1041130168087434,450
1,8_4_20,1,1,0,0.67,C,11.650047903082331,1.1466693636057925,460
1,8_4_20,1,1,0,0.67,C,12.027385012194944,1.136340114101405,470
1,8_4_20,1,2,1,1.67,A,8.087117757184357,1.3907841322729333,0
1,8_4_20,1,2,1,1.67,A,8.087117757184357,1.3907841322729333,10
1,8_4_20,1,2,1,1.67,A,8.087117757184357,1.3907841322729333,20
1,8_4_20,1,2,1,1.67,A,8.087117757184357,1.3907841322729333,30
